Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.31,-.04,-.40,-.12,-.01,-.81,-.53,-.30,-.16,-.08,-.03,.05,.67
1881,-.09,-.20,.01,-.38,.11,-.06,-.92,-.49,-.23,.09,.13,-.05,-.07,.59
1882,-.11,-.23,.00,-.34,-.04,.02,-1.41,-.31,-.17,-.05,-.03,.02,.04,.62
1883,-.18,-.30,-.06,-.37,-.16,-.01,-.18,-.59,-.28,-.18,-.14,-.03,.07,.50
1884,-.29,-.44,-.14,-.63,-.14,-.13,-1.31,-.67,-.49,-.13,-.15,-.18,-.02,.65
1885,-.34,-.45,-.23,-.68,-.13,-.27,-1.50,-.71,-.49,-.07,-.18,-.33,-.15,.82
1886,-.32,-.45,-.19,-.59,-.19,-.21,-1.58,-.53,-.44,-.22,-.16,-.19,-.20,.59
1887,-.37,-.45,-.28,-.55,-.29,-.28,-1.76,-.53,-.33,-.30,-.29,-.27,-.26,.32
1888,-.18,-.25,-.11,-.44,.10,-.29,-1.30,-.45,-.27,.06,.14,-.31,-.23,.15
1889,-.11,-.19,-.03,-.31,.08,-.16,-.68,-.25,-.29,.01,.15,-.15,-.15,.44
1890,-.36,-.40,-.32,-.48,-.37,-.22,-1.14,-.59,-.29,-.27,-.46,-.17,-.27,.15
1891,-.23,-.27,-.19,-.45,-.08,-.21,-1.12,-.37,-.38,.00,-.16,-.18,-.24,-.16
1892,-.28,-.41,-.15,-.46,-.30,-.08,-1.14,-.69,-.19,-.34,-.26,.03,-.21,.09
1893,-.32,-.48,-.15,-.52,-.37,-.05,-.61,-.56,-.49,-.43,-.31,.07,-.20,-.05
1894,-.32,-.40,-.23,-.34,-.37,-.24,-.90,-.35,-.20,-.50,-.23,-.14,-.35,-.38
1895,-.24,-.31,-.16,-.41,-.09,-.26,-.64,-.55,-.28,-.15,-.02,-.19,-.32,-.59
1896,-.11,-.20,-.03,-.36,.10,-.15,-.83,-.39,-.24,.06,.15,-.15,-.13,.25
1897,-.11,-.17,-.05,-.36,.18,-.23,-.51,-.49,-.25,.14,.22,-.19,-.27,.40
1898,-.27,-.29,-.25,-.37,-.21,-.26,-1.14,-.27,-.25,-.18,-.25,-.27,-.21,.37
1899,-.18,-.22,-.14,-.25,-.12,-.18,-1.01,-.12,-.16,-.16,-.08,-.15,-.22,.58
1900,-.08,-.10,-.06,-.21,.18,-.30,-.53,-.18,-.16,.09,.27,-.28,-.29,.27
1901,-.15,-.13,-.18,-.17,-.03,-.30,-.35,-.13,-.16,-.06,.00,-.27,-.34,.26
1902,-.28,-.34,-.21,-.55,-.03,-.35,-1.50,-.53,-.33,-.02,-.04,-.27,-.43,-.05
1903,-.37,-.38,-.36,-.48,-.27,-.38,-.21,-.44,-.57,-.23,-.32,-.35,-.40,-.50
1904,-.47,-.49,-.45,-.53,-.46,-.44,-.21,-.62,-.56,-.43,-.48,-.37,-.49,-1.32
1905,-.26,-.29,-.22,-.42,-.07,-.35,-.03,-.25,-.64,-.11,-.04,-.32,-.37,-.34
1906,-.22,-.24,-.20,-.27,-.18,-.23,-.25,-.09,-.40,-.20,-.17,-.20,-.22,-.72
1907,-.38,-.47,-.29,-.60,-.29,-.29,-.55,-.74,-.53,-.29,-.30,-.21,-.37,-1.21
1908,-.43,-.46,-.40,-.49,-.43,-.36,-.20,-.56,-.52,-.42,-.45,-.29,-.48,.67
1909,-.49,-.50,-.47,-.54,-.48,-.44,-.71,-.64,-.45,-.44,-.51,-.37,-.52,-.57
1910,-.44,-.45,-.43,-.43,-.49,-.38,-.58,-.26,-.51,-.49,-.49,-.33,-.45,.15
1911,-.44,-.43,-.46,-.43,-.43,-.48,-.26,-.43,-.48,-.42,-.43,-.44,-.52,.04
1912,-.36,-.47,-.24,-.60,-.17,-.37,-.48,-.80,-.51,-.27,-.08,-.36,-.29,-1.64
1913,-.34,-.42,-.26,-.45,-.26,-.35,-.47,-.34,-.52,-.38,-.14,-.28,-.40,-1.05
1914,-.15,-.20,-.10,-.25,-.06,-.18,-.33,-.17,-.30,-.11,.00,-.15,-.18,-.37
1915,-.14,-.14,-.13,-.24,.00,-.22,-.55,-.18,-.20,.00,-.01,-.15,-.23,-1.99
